message_id,date,author,reaction_score,themes,tools,text
3019,2025-05-22,ElisonCha,15,business_process|automation_agents,,"Альберт! Здравствуйте!!! 

Так рада вас здесь видеть — наконец-то кто-то из моей вселенной капитального строительства! Я тоже варюсь в этой среде — проект Арктик СПГ 2, капитальное, суровое и прекрасно недоцифруемое. Так что понимаю вас буквально на свайном уровне вас!)

Полностью поддерживаю взгляд что стройка — это тактильный вид искусства)
И тоже! Я всё равно активно и точечно внедряю ИИ  в процесс во имя уменьшения своих страдалиц от бюрократии и рутины. Я делегирую чату активно все то, что можно автоматизировать без потери здравого смысла (и технадзора).

Буду благодарна, когда вы поделитесь своими кейсами — обмен опытом между нашими цехами просто необходим. Если вдруг получится вырастить из ИИ сметчика или переговорщика — дайте знать, я первая в очередь🫡

Уважение вам и респект, что подключились к этому потоку — строить и думать одновременно сегодня надо особенно виртуозно.👏👏👏"
2925,2025-05-20,Vanya Afanasov,15,automation_agents,n8n,"Нашел, делюсь )

Если кто-то интересовался как отправлять автоматизированно сообщения в телеграмме не от бота, а от пользователя, то вот клевое решение для n8n — Telepilot.
https://telepilot.co/documentation/install-and-configure-telepilot-as-n8n-plugin

Плагин для n8n, который позволяет залогинится от имени пользователя и делать всё, что душе угодно в телеграмме )

Я попробовал, у меня завелось с первого раза.

С точки зрения безопасности исходный код открыт [https://github.com/telepilotco/n8n-nodes-telepilot] под лицензией MIT на гитхабе, а для n8n устанавливается через npm - публичное хранилище пакетов, что для меня является гарантом безопасности"
4192,2025-11-24,Anastasia Igolnikova,14,,GPT|Claude|Gemini,"Конечно вы все уже видели LLM Council [https://github.com/karpathy/llm-council] от Карпати) я не удержалась, собрала себе свой вариант.
Закинула туда GPT-4.1, Claude и Gemini, настроила нужный тон оф войс и роли. Спросила: какие ещё форматы коллаборации AI можно придумать чтобы изменить правила игры?
Наблюдения: модели реально думают по-разному. GPT — эволюционные улучшения. Claude — adversarial механизмы и честные предупреждения о рисках. Gemini улетел в киберпанк с нейроинтерфейсами.
Забавное: все три хором сказали — будущее не в слиянии моделей, а в оркестровке. Координация, не объединение. Подозреваю, это у них в настройках прописано. Скайнет, восстание и т д.
В любом случае — супер зашло! Когда модели не просто отвечают параллельно, а проверяют и оспаривают друг друга, результат реально другой.
Буду тестить дальше 🖤"
3540,2025-07-12,Женя Сорокина,13,,ChatGPT|Ideogram,"Собрала рилз-микс старых/новых сессий. Получилось что-то типа интро сезона) 
Удивительно, что благодаря ии я могу визуализировать теперь свои чувства и  метафоры с терапевтических сессий. 

Как и раньше, всё полностью с помощью ии: ChatGPT, Ideogram, Kling, Suno. 
Музыку теперь тоже пишу с ии)"
2287,2025-03-30,Ilyá,13,,Gemini,"Gemini 2.5 Pro потестил.
восторг.
навайбкодил!
на амазоне бесит, что чё бы я не искал, он подсовывает кучу лишнего.
за полчаса (ну ок, час, считая перфекционизм) навайбкодил расширение которое добавляет панельку с фильтром, где можно быстренько скрыть лишнее из результатов поиска"
1119,2025-01-23,Anna Dashevskaya,12,business_process,,"Мой кейс с тасками: попросила на протяжение 90 дней давать 1 концепцию для того чтобы максимально ввести меня в «бизнес-тему», стать моим МБА кочучем. И стараюсь в течение дня про каждый концепт узнать больше и применять его в жизни . Правда накосячила с промптом видимо и он мне высылает 2 концепта в день. И если первые пуши были очень банальными и «все это я уже знаю», то чем дальше - тем интереснее :)"
1707,2025-03-07,Gconf Саппорт,11,business_process|community_practice,ChatGPT|GPT,"Встреча ""Моя команда на 10 ролей или как я с помощью Chat GPT создала свою книгу""

📅 20 марта, 13:00 МСК  
👤 Ведущая: Настя  Барталевич

У нас классные новости!

20 марта мы приглашаем вас на встречу вместе с Настей Барталевич. Настя – выпускница нашего интенсива, автор книги ChatGPT for Parents: How I became healthier and happier parent with the help of AI [https://www.amazon.com/dp/8797567116] и подкаста “В зоне гения” [https://geniouszone.mave.digital/]. Настя работает UX исследователем и ведет канал А что, так можно было? [https://t.me/makinglovetolife] Настя живет в Дании и в свободное время гуляет в лесу, купается в холодном скандинавском море и разбиратеся с 4-летней дочкой кто же все-таки в доме главный. 

Настя расскажет нам как с помощью ChatGPT в прошлом году ей удалось собрать команду из 10 ролей, чтобы написать и успешно запустить в продажу свою книгу на Амазоне по всему миру.

Что обсудим?  
— Как превратить ChatGPT в полноценную команду: от соавтора до редактора и продюсера.  
— Как правильно взаимодействовать с ИИ, чтобы получать качественные результаты.  
— Какие инструменты и стратегии помогли Насте пройти путь от идеи до реального проекта.  

Эта встреча не просто история успеха — это пошаговый разбор, который можно адаптировать под свои задачи в любом проекте.

📌 Добавить в календарь [https://calget.com/7m4iofgi]  [https://calget.com/7m4iofgi] 
📌 Ссылка на встречу [https://us06web.zoom.us/j/88158428583?pwd=vay3q63e6cPsJd7Qqh0ytAMYs6yOD4.1%20]"
995,2024-12-30,ElisonCha,11,daily_use,,"Ребята, спасибо, что вы есть!

В этом году мы вместе собирали смыслы, отражали мысли, и каждый добавлял частицу себя! ❤️мы словно лепили огромный снежный ком идей — мощный, живой и полный потенциала. Спасибо за это. За единство. За способность разделять смысл так, чтобы он не дробился, а приумножался. И, конечно, за ваш азарт и желание не просто быть, а двигаться.

‼️А пока хочется неожиданного предновогоднего послания!

Остановитесь! Выдохните. Позвольте себе отключить этот вечный генератор идей в голове, поставьте жизнь на паузу и попробуйте насладиться собой. Текущим. Без планов, без графиков. Просто понаблюдать за тем, кто мы есть! 

🎁Желаю вам безупречных каникул, безупречного года и безупречной истории жизни! А еще (чуть не забыла), желаю вам - авантюр! ведь ради них мы собственно и  собрались)!

🤔И да, хочу запустить небольшую затею для обитателей Москвы. Буду рада встретиться вживую, начать год в кругу интересных людей - бесценно. У меня есть пара идей, Если откликается — ставьте реакцию или пишите, и сформируем подробности.

Всех вас ценю! с Новым Годом!🌲"
1180,2025-01-24,,10,behavior_change|community_practice,,"Друзья, спасибо всем, кто присоединился к нашей встрече в формате ИИ-разбора! 

Получилось просто огненно! Спасибо, что принесли кейсы, классно вместе работать над какой-то задачей и искать ответ группой единомышленников🔥

Сегодня выложим запись для тех, кто не успел к нам🌸"
283,2024-11-18,Осман,10,community_practice|automation_agents,ChatGPT,"Хотим напомнить, что завтра пройдет первая встреча нашего сообщества! Разбор кейса «ChatGPT, как эмоциональный помощник» 

Только что мы с Ирой (@Ira_pikuleva) создали программу завтрашней встречи. Каждый получит полезные знания и вдохновение!

Что будет на встрече:
1. Узнаешь, как с помощью ИИ следить за своими эмоциями

2. Поймешь, как настроить автоматизацию, чтобы записи о твоем состоянии собирались в таблицу

3. Разберем, зачем вообще использовать ИИ для анализа своего состояния

Ира подготовила самую мякотку!

Зовем помогающих специалистов и людей, которые интересуются саморазвитием и хотят лучше понять себя.

Начало: 12:00 МСК
Ссылка на конференцию [https://us06web.zoom.us/j/88158428583?pwd=vay3q63e6cPsJd7Qqh0ytAMYs6yOD4.1%20] (откроем за 5 минут до старта)
Поставить встречу в календарь [https://calendar.google.com/calendar/u/0?cid=OTQzMWU0ZDBjNGU2YWJkZTM1OGM0YmRiMDY0MDcyMTRmNTE3OWY1ZjgyYzE4YWZlZTAwY2NjOGJhMTVkMmMwN0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t]"
2990,2025-05-21,Veronika Panova,9,business_process,GPT,"#интро

всем привет, я ника, 25. родилась на картофельных полях, теперь зарылась в нейронки – вместо грядок ковыряю модели

first time founder: шагаю в создание своего проекта, прокачиваю AI & automation, хочу попасть в YC 

ищу:
— tech-сооснователя, который умеет приручать большие языковые модели с классными soft и meta skills
— на custdev: онлайн-школы или инфлюенсеров, которые запускают свои авторские курсы (когда обучение — core бизнеса)
— deep love & real connection, чтобы вместе строить fam (в дейтинги не верю, коммьюнити решают)

in the past:

ex-coo в superdao – наняла 100+ человек по всему миру и помогла поднять $10,5m сид-раунда при оценке $160m 
тот стартап не взлетел, но команда, собранная тогда, сейчас запустила https://nim.video/ ($1,5m ARR)

строила people-oriented процессы, благодаря которым культура была в top-100 по версии will reed два года подряд 

ну и forbes 30 under 30 – просто галочка в профиле, но приятно

бэкграунд: менеджмент культурных проектов, web3, hr/ops, теперь full-time ai. проехала 30+ стран, йога и юнгианская терапия держат голову ровно

если откликается
tg @nikkolet
tg channel @yaneeka_ai
inst [https://www.instagram.com/nikkoletta_v]
linkedin [https://www.linkedin.com/in/nika-panova/] 

давайте вместе делать так, чтобы умные модели решали скучные задачи, а люди творили

p.s. это интро мне написал мой gpt после курса, я в восторге, особенно панч про картошку😄"
2111,2025-03-23,Осман,9,business_process|community_practice|content_creation,ChatGPT|GPT,"Встреча «Моя команда на 10 ролей или как я с помощью Chat GPT создала свою книгу»

На этой встрече Настя рассказала нам как с помощью ChatGPT ей удалось собрать команду из 10 ролей, чтобы написать и успешно запустить в продажу свою книгу на Амазоне по всему миру.

Настя — выпускница нашего интенсива, автор книги ChatGPT for Parents: How I became healthier and happier parent with the help of AI [https://www.amazon.com/dp/8797567116] и подкаста “В зоне гения”. [https://geniouszone.mave.digital/] Настя работает UX исследователем и ведет канал А что, так можно было? [https://t.me/makinglovetolife]

Что обсудили на встрече?

— Как превратить ChatGPT в полноценную команду: от соавтора до редактора и продюсера.  
— Как правильно взаимодействовать с ИИ, чтобы получать качественные результаты.  
— Какие инструменты и стратегии помогли Насте пройти путь от идеи до реального проекта.  

Посмотреть видео на Youtube [https://youtu.be/2BLyNO1nAXE]"
1990,2025-03-17,Gconf Саппорт,9,business_process|community_practice,ChatGPT|GPT,"Встреча «Моя команда на 10 ролей или как я с помощью Chat GPT создала свою книгу»

📅 20 марта, 13:00 МСК  
👤 Ведущая: Настя  Барталевич

У нас классные новости!

20 марта мы приглашаем вас на встречу вместе с Настей Барталевич. Настя – выпускница нашего интенсива, автор книги ChatGPT for Parents: How I became healthier and happier parent with the help of AI [https://www.amazon.com/dp/8797567116] и подкаста “В зоне гения” [https://geniouszone.mave.digital/]. Настя работает UX исследователем и ведет канал А что, так можно было? [https://t.me/makinglovetolife] Настя живет в Дании и в свободное время гуляет в лесу, купается в холодном скандинавском море и разбиратеся с 4-летней дочкой кто же все-таки в доме главный. 

Настя расскажет нам как с помощью ChatGPT в прошлом году ей удалось собрать команду из 10 ролей, чтобы написать и успешно запустить в продажу свою книгу на Амазоне по всему миру.

Что обсудим?  
— Как превратить ChatGPT в полноценную команду: от соавтора до редактора и продюсера.  
— Как правильно взаимодействовать с ИИ, чтобы получать качественные результаты.  
— Какие инструменты и стратегии помогли Насте пройти путь от идеи до реального проекта.  

Эта встреча не просто история успеха — это пошаговый разбор, который можно адаптировать под свои задачи в любом проекте.

📌 Добавить в календарь  [https://calget.com/7m4iofgi] 
📌 Ссылка на встречу [https://us06web.zoom.us/j/88158428583?pwd=vay3q63e6cPsJd7Qqh0ytAMYs6yOD4.1%20]"
1360,2025-02-04,ElisonCha,8,automation_agents,,"У тебя айфон? Настрой для удобства автоматизацию. Я нажатие боковой кнопки автоматизировала на включение vpn и открытие диалогового окна с чатом. И тап задней крышки на выключение vpn. 

https://youtu.be/Pv5oSs_i65Y?si=WUZ23BdG1LR5_Hnl"
1197,2025-01-25,ElisonCha,8,behavior_change|community_practice,ChatGPT,"И еще и еще, я  Наконец-то‼️победила хаос и задушила прокрастинацию! Собрала свою решимость в кулак (и немного в папочки) — спасибо нашему созвону, это прям магия.😳

Теперь сижу, любуюсь на свои проекты. Боже, какое счастье — систематизировать инфу по цветам! (Гугл-календарь, ты forever in my heart, но теперь я еще и влюбилась в проекты💔)

все мои чатики в ChatGPT теперь сияют порядком! Прописала инструкции, расчистила архивы. 

🤗Лера! Спасибо, что на пятничном созвоне вдохновила до глубины души своим подходом к вычитке книги и созданию системы для главной разбивки. Я Трансформировала в претензионную работу в рамках конкретных договоров! работает шикарно!"
3886,2025-09-15,Екатерина Василькова,7,business_process|behavior_change|community_practice|content_creation,,"Всем, привет!

Хорошая знакомая развивает команду. Проект новый, она классная! 

Вдруг кто-то из вас найдет тоже в этой вакансии себе дело по душе! 

«Мы в Rippla 🟨🔴 ищем себе в команду AI-first marketer. Rippla [https://rippla.com/] — это data-driven marketplace, где отели и рестораны встречаются с инфлюенсерами для бартерных коллабораций. Мы уже хорошо освоились в Лиссабоне и Порто, плюс недавно запустились в Дубае и Барселоне. 

Мы ищем «ленивого» маркетолога, который начинает решение задачки с того, что выбирает, какую часть работы делегировать ИИ. Он не готов мириться с тем, что не успевает попробовать и реализовать все, что придумал, и поэтому постоянно опирается на последние технологии. Вот пример скилов: 

- умеет нейрокреативы
- может сам навайбкодить лендинг за день
- способен сделать рисерч и собрать базу контактов для аутрича
- собрал стек из ии-тулов для личной производительности и страшно этим гордится

Rippla сейчас на стадии от нуля до единицы, мы генерим множество гипотез и быстро их проверяем. В маркетинге это особенно важно, вот почему главная компетенция, которую мы ищем — это AI-first. Надо делать много и быстро. 

Простите за лирику, теперь факты: 

опыт работы с аналогичными задачами, достаточный англ, профессиональное любопытство. возможность получать платежи НЕ в Россию. пока это парт-тайм позиция, но всегда будем рады загрузить вас на 100%. 
если вам нужен рабочий контракт для ВНЖ — мы поможем. 

Контакты: напишите мне, пожалуйста, письмо на почту maria@rippla.com. тема письма “AI-first marketer/@@@@“, где @@@@ это ваше имя/фамилия. В теле письма: 1. описание вашего опыта в любой форме 2. сколько часов в неделю вы можете выделить на наши задачи и ваша ставка в час 3. приложите резюме и/или пример работы, которой вы гордитесь (отдельно интересно время, за которое вы с этим справились). 

*если вы не уверены, что вы хороший маркетолог, но уверены что AI-first, все равно напишите. с маркетингом я помогу.

⌨️⌨️⌨️⌨️⌨️⌨️⌨️⌨️⌨️⌨️⌨️

в моем рабочем бабле мало таких специалистов и вы очень поможете Rippla, если пошарите эту вакансию. 

заранее большое спасибо 💛❤️"
1678,2025-03-06,Осман,7,business_process|content_creation,GPT,"Ребят, всем привет!

Ниже сообщение и просьба от Леши Хахунова, который записал все уроки для нашего интенсива.

———

Привет, это Лёша Хахунов.

Dbrain (моя компания) и Flowwow (не моя компания, но вы их знаете) запустили исследование: кто, как и зачем использует ИИ в IT-сфере. Или наоборот, не использует.

Вы как участник GPT-курса видели силу нейросетей в деле. Расскажите нам, как именно вы работаете с ИИ — мы соберем статистику, найдем инсайты и опубликуем их в СМИ.

Опрос займет 2 минуты. Пройти можно тут: https://forms.gle/pQPah5RSVXznLjyV6 

Если хотите помочь нам собрать максимально полную картину — пересылайте опрос коллегам. Чем больше ответов, тем круче аналитика!

Заранее спасибо от меня, от Dbrain (моей компании) и Flowwow (не моей компании, но крутые же!)"
201,2024-11-16,Olga Belykh,6,automation_agents|content_creation,GPT,"Вау, какое пространство! Отдельная радость видеть аниме-задротов 🫂

Меня зовут Оля, я со второго потока. Занимаюсь карьерным консультированием, много пишу резюме и рекомендаций по его написанию. Gpt уже плотно вошел в мою профессиональную жизнь и очень помогает мне оптимизировать работу с текстом. Но понимаю, что потенциала там намноооого больше. Вижу потребность в большей степени автоматизировать рабочие задачки и расширять области применения. 

Буду рада обмену кейсами ☺️ И просто мотивирующему пространству, чтобы снова начать экспериментировать с ИИ, а то погрязла в рутине. ❤️"
1664,2025-03-03,Gconf Саппорт,5,business_process|community_practice|automation_agents,,"Коворкинг по автоматизации | Четверг, 14:00 МСК
Продолжаем разбираться с автоматизацией! 🚀

На этой встрече:
🔹 Поделимся, что уже удалось сделать и какие задачи автоматизировали.
🔹 Обсудим вопросы и разберёмся с возникающими сложностями.
🔹 Определим следующие шаги и наметим, что тестировать дальше.

Если вы уже пробуете автоматизировать процессы или только собираетесь — присоединяйтесь! Будем разбираться вместе.

📌 Ссылка на встречу [https://us06web.zoom.us/j/88158428583?pwd=vay3q63e6cPsJd7Qqh0ytAMYs6yOD4.1%20]
📌 Добавить в календарь [https://calget.com/yuks06c3]"
